country_code,year,tourist_arrivals,co2_pc,life_exp,broadband_p100,mobile_p100,hosp_beds_p1000,tour_receipts_pctexp,pm25,renew_energy_pct,rnd_pct_gdp,population,gdp_pc,urban_pct,region,income_group,country_name
ERI,1995,315000.0,0.302600934126691,54.822,,0.0,,43.1309654333988,36.6090315450611,77.9,,2025267,285.402184008331,27.2435242754175,Sub-Saharan Africa,Low income,Eritrea
ESP,1995,52460000.0,6.08224226885224,77.9807317073171,,2.373389764,4.3000001907,20.4383030718553,15.8025427152099,8.3,,39724050,15460.9110266653,75.588297274636,Europe & Central Asia,High income,Spain
EST,1995,2111000.0,12.1958174455011,67.5439024390244,,2.096126379,8.3500003815,20.4214793602128,18.4295350178401,17.9,,1436634,3134.38975345407,68.959092258676,Europe & Central Asia,High income,Estonia
ETH,1995,103000.0,0.0447258483179515,48.156,,0.0,,23.0601379055278,18.4083397468473,96.2,,57537335,136.523619088963,13.8825578689575,Sub-Saharan Africa,Low income,Ethiopia
FIN,1995,1779000.0,10.3201433496679,76.409512195122,,20.34333586,9.3000001907,5.05178821016826,10.1664786583759,27.3,,5107790,26246.2743214462,64.8059387207031,Europe & Central Asia,High income,Finland
FJI,1995,476000.0,0.983543477868415,66.007,,0.277691525,,34.0487500820155,5.32174926057696,58.4,,798746,2466.74347815903,45.6574672941176,East Asia & Pacific,Upper middle income,Fiji
FRA,1995,,5.86411829088622,77.7512195121951,,2.268352438,8.8999996185,8.62793760471224,19.1802991543527,10.7,,59541294,26791.8151982369,75.0991069026347,Europe & Central Asia,High income,France
FRO,1995,,12.4251086012163,77.3228243902439,,5.839516037,,,,3.2,,43611,20669.2052425004,34.3788681030273,Europe & Central Asia,High income,Faroe Islands
FSM,1995,,0.988722154040686,64.142,,0.0,,,4.50844897705407,0.8,,110230,1995.19187154132,25.2888274538158,East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts."
GAB,1995,203000.0,4.25736992662988,61.27,,0.356517678,,3.19354755952162,28.230347247798,72.0,,1123213,4414.8755828572,74.9893550877512,Sub-Saharan Africa,Upper middle income,Gabon
GBR,1995,23537000.0,9.27484623579539,76.8365853658537,,9.901172035,4.8000001907,8.56125682325038,19.8226431508419,1.1,,58019030,23252.6157127423,78.6591002712985,Europe & Central Asia,High income,United Kingdom
GEO,1995,85000.0,0.486454583861428,69.398,,0.003075235,7.6599998474,,21.6905018270876,46.4,,4657722,578.336923460866,53.7014001838407,Europe & Central Asia,Upper middle income,Georgia
GHA,1995,286000.0,0.314836871788835,56.662,,0.035552754,,1.89657352383361,31.9828265232056,79.8,,17399017,371.537243033836,39.960521040618,Sub-Saharan Africa,Lower middle income,Ghana
GIB,1995,,9.1227982883869,78.345,,2.407704655,,,,0.0,,27377,,100.0,Europe & Central Asia,High income,Gibraltar
GIN,1995,,0.16398877270262,49.836,,0.012720352,,0.130101784058382,28.9209059299771,90.0,,7553249,713.031460558683,29.4990241182623,Sub-Saharan Africa,Lower middle income,Guinea
GMB,1995,45000.0,0.185719122547535,54.292,,0.116088572,,,40.790138791609,60.1,,1264313,621.681391269646,39.5666608739251,Sub-Saharan Africa,Low income,"Gambia, The"
GNB,1995,,0.161240394610253,48.531,,0.0,,,35.0249717692056,88.6,,1119949,589.487023081945,34.9311501499718,Sub-Saharan Africa,Low income,Guinea-Bissau
GNQ,1995,,0.254213452545304,51.926,,0.0,,1.0626057519081,37.6215850669488,78.7,,571264,248.314896208855,38.8041524265093,Sub-Saharan Africa,Upper middle income,Equatorial Guinea
